,1,2,3,0
b3,d5,Bb2,Bg4,3
d4,g6,Bf4,Bg7,3
c4,e6,Nf3,f5,3
c4,e6,g3,Nf6,3
d4,g6,Nf3,Nf6,3
d4,g6,Nc3,Bg7,3
d4,d5,c4,c5,2
Nf3,c5,g3,Nf6,2
c4,c5,Nf3,b6,2
f4,e5,fxe5,d6,2
e4,b6,d4,e6,2
e4,c5,Bc4,Nc6,2
d4,d5,e3,Nc6,2
e4,c5,Qh5,d6,2
d4,d5,e3,Bf5,2
Nf3,d5,b3,c6,2
Nf3,c5,g3,d5,2
e4,b6,Nc3,Bb7,2
e3,e5,Nc3,d5,2
e4,c5,b3,d6,2
e4,Nf6,Nc3,e5,2
c3,g6,d4,Bg7,2
Nf3,d5,c4,Nf6,2
Nc3,d5,Nf3,Nf6,2
e4,Nc6,Nf3,f5,2
c4,d6,Nc3,g6,2
Nc3,Nf6,e4,e5,2
Nf3,d5,d4,Bf5,2
f4,d5,Nf3,Nc6,2
e4,Nc6,Nf3,d5,2
d4,d5,e3,e6,2
d4,d5,g3,Nf6,2
d4,g6,g3,Bg7,2
d4,d6,e4,e5,2
g3,d5,Nf3,Nd7,2
Nf3,Nf6,b3,e6,2
d4,e6,e3,Nf6,2
d4,e6,Nf3,b6,2
Nf3,Nf6,b3,d6,2
c4,c5,Nc3,g6,2
d4,e6,Bf4,b6,2
d4,f5,Bg5,h6,2
c4,Nf6,Nf3,c5,2
Nf3,Nc6,g3,e5,2
e4,e5,d3,Nc6,2
e4,c5,Be2,d6,2
e4,e5,Nf3,f6,2
e4,c5,Ne2,e5,2
d4,d6,e4,Nd7,2
d4,g6,e4,c6,2
e4,e5,d3,Nf6,2
Nf3,c5,b3,Nc6,2
g3,e5,c4,Nc6,2
Nf3,Nc6,b3,e5,2
e4,c5,Nf3,b6,2
d4,d6,c4,Nf6,2
e4,c5,Nf3,d5,2
e4,c5,Bc4,d6,2
d4,d6,Nf3,f5,2
d4,d6,Nf3,Nd7,2
f4,g6,Nf3,Bg7,2
d4,g6,c4,Nf6,2
Nf3,Nf6,d4,c5,2
g4,d5,Bg2,Bxg4,2
e4,d6,Nc3,e5,2
d4,d5,Nc3,c6,2
e4,Nc6,Nc3,g6,2
b3,Nf6,Bb2,e6,2
b4,Nf6,Bb2,g6,2
e4,d5,Nc3,dxe4,2
b3,Nf6,Bb2,d5,2
Nf3,d6,d4,g6,2
d4,Nf6,e3,e6,2
f4,Nf6,Nf3,d6,2
d4,Nf6,c3,g6,2
d4,Nf6,c3,c5,2
Nf3,g6,g3,b6,2
e4,g6,d4,c6,2
Nf3,e6,d4,c5,2
Nf3,e6,d4,f5,2
d4,Nf6,Nd2,d5,2
e4,d6,d4,e5,2
d4,Nf6,Nc3,d6,2
Nf3,e6,g3,b6,2
e4,c6,c4,e5,2
Nf3,e6,g3,d5,2
d3,d5,f4,g6,2
d4,Nf6,Bg5,b6,2
Nf3,f5,d3,d6,2
e4,c5,g3,Nc6,2
e4,d6,d4,Nd7,2
e4,d5,e5,Bf5,2
e4,e6,d4,Nf6,2
Nc3,Nf6,d4,d5,2
d4,c5,c3,Nf6,2
b4,e5,Bb2,Bxb4,2
d4,c5,d5,e6,2
c4,e5,g3,d5,2
e4,e6,Nf3,Nc6,1
e4,Nf6,Nc3,d6,1
g3,d5,Nf3,g6,1
e4,c5,Nc3,b6,1
e4,e6,Nf3,b6,1
e4,e5,Qh5,g6,1
e4,Nf6,Bc4,g6,1
g3,d5,Nf3,c6,1
g4,e5,Bg2,d5,1
e4,e6,Qe2,Ne7,1
e4,d6,Bc4,Nf6,1
e4,e6,d3,d6,1
e4,c6,c4,Nf6,1
e4,c6,c3,d5,1
e4,Nc6,Nf3,e6,1
e4,e5,c4,Nf6,1
e4,e5,Qh5,Nf6,1
e4,c6,Qg4,d5,1
e4,e5,d3,Bc5,1
e4,e6,d4,Nc6,1
e4,d6,Nc3,c5,1
e4,d6,Nc3,g6,1
g3,d5,Nf3,Bg4,1
g3,e5,Bg2,Nf6,1
e4,Nf6,d3,Nc6,1
e4,e5,Qe2,Nc6,1
e4,e6,Qe2,Be7,1
e4,d6,Nf3,Nd7,1
e4,c5,Bc4,Nf6,1
e4,d5,exd5,c6,1
e4,d5,Nf3,dxe4,1
e4,e6,Nf3,Nf6,1
g3,e5,c4,c6,1
e4,d5,Nf3,Bg4,1
e4,d5,exd5,e5,1
g4,d5,Bg2,c6,1
e4,b6,c4,Bb7,1
e4,d5,f3,dxe4,1
e4,a6,a3,g6,1
e4,c6,f4,d5,1
