,1,2,3,4,5,0
Nf3,d5,g3,c5,Bg2,Nc6,13
c4,e6,Nf3,d5,e3,Nf6,13
d4,d5,Nc3,Nf6,Bf4,e6,13
e4,c5,Nc3,e6,Nf3,Nc6,13
Nf3,d5,d4,Nf6,c4,c6,13
e4,e6,d4,d5,Nd2,dxe4,13
e4,c6,Nf3,d5,d3,Bg4,13
Nf3,Nf6,g3,d5,Bg2,c5,13
d4,Nf6,Bg5,d5,Bxf6,exf6,13
d4,Nf6,Bf4,d5,e3,e6,12
e4,c5,Nc3,e6,g3,Nc6,12
e4,e5,Nf3,Nc6,Bc4,Be7,12
Nf3,Nf6,c4,g6,d4,Bg7,12
d4,Nf6,c4,g6,g3,c6,12
d4,g6,e4,Bg7,Nf3,d6,12
Nf3,Nf6,g3,c5,Bg2,Nc6,12
c4,e6,Nc3,d5,cxd5,exd5,11
e4,c5,d3,Nc6,g3,g6,11
e4,c5,Nf3,e6,c4,Nc6,11
e4,c5,Nc3,Nc6,f4,g6,11
e4,e6,d3,d5,Nd2,c5,11
d4,Nf6,c4,d6,Nc3,Nbd7,11
e4,c5,Nf3,e6,d3,Nc6,11
e4,c5,Nc3,Nc6,Nge2,g6,11
d4,Nf6,Nf3,g6,Nbd2,d5,11
e4,d5,exd5,Nf6,d4,Nxd5,11
d4,Nf6,Nf3,e6,e3,b6,11
e4,c5,Nf3,Nc6,Nc3,Nf6,11
e4,d5,exd5,Nf6,Nc3,Nxd5,11
e4,c5,Nf3,e6,b3,Nc6,11
e4,d6,d4,g6,Nc3,Bg7,11
d4,d6,e4,g6,Nc3,Bg7,11
d4,Nf6,Bf4,e6,e3,d5,11
d4,f5,g3,Nf6,Bg2,g6,11
d4,Nf6,Nf3,g6,e3,Bg7,11
c4,e6,Nf3,d5,g3,Nf6,11
e4,e5,Nf3,Nc6,Bc4,d6,11
Nf3,Nf6,c4,g6,b3,Bg7,11
Nf3,d5,g3,Bg4,Bg2,Nd7,11
e4,e6,Nf3,d5,exd5,exd5,11
e4,e5,Nf3,Nc6,Bb5,f5,10
d4,d5,Bf4,e6,e3,Nf6,10
e4,c5,Nf3,Nc6,c3,Nf6,10
d4,Nf6,Bg5,d5,e3,c5,10
